barrio,sede
Laureles Estadio,Plazuela Carlos E. Restrepo
Laureles Estadio,Primer Parque de Laureles
Laureles Estadio,Parque Suramericana Alta
Laureles Estadio,Plazoleta Estación Metro Suramericana (exterior)
Laureles Estadio,Plazoleta Estación Metro Estadio (exterior)
Laureles Estadio,Ampliación Estación Estadio Plazoleta (exterior)
Laureles Estadio,Parques del Río
La América,Casa de la Cultura Los Alcázares
La América,Mascerca La Floresta
La América,Parque del Ajedrez
La América,Unidad Deportiva Barrio Cristóbal
La América,Zona Verde Recreacional La Arboleda
La América,Parque Principal La Floresta
La América,CAV La América
La América,Centro de Salud Santa Rosa de Lima
La América,Aula Ambiental Plaza La América
La América,Placa PoliDeportiva La Cristóbal
La América,Parque Campo Alegre (La Jota)
La América,Parque Los Tanques
La América,Estación Metro Santa Lucía (exterior)
La América,Parque El Manicomio
La América,Parque Infantil Colinas de Calasanz
La América,Unidad Deportiva La Floresta
La América,Cancha sintética Santa Lucia
San Javier,CAV Belencito
San Javier,Unidad Deportiva Antonio Nariño
San Javier,Casa de Justicia 20 de Julio
San Javier,UPSS San Javier
San Javier,Centro de Salud La Esperanza
San Javier,Centro de Salud Manantial de Vida
San Javier,Centro de Salud La Quiebra
San Javier,Centro de Salud Villa Laura
San Javier,Placa Polideportiva La Loma
San Javier,Plazoleta Estación Metro San Javier B (exterior)
San Javier,Estacion San Javier (Metrocable J) (interior)
San Javier,Escaleras Eléctricas (Viaducto)
San Javier,Escaleras Eléctricas (Tramos 4 5 Y 6)
San Javier,Centralidad El Pesebre
San Javier,CVS San Javier
San Javier,Placa PoliDeportiva Blanquizal
San Javier,Desarrollo Integral el Socorro
San Javier,Placa PoliDeportiva Metropolitano
San Javier,Viaducto Tramo Dos
San Javier,Cancha La Campiña Pradera Baja
San Javier,Viaducto tramo 2 parte alta
San Javier,Cancha Belencito Betania
San Javier,Iglesia Madre Redentor
San Javier,Parque La paz
San Javier,Parque Villa del Socorro
San Javier,CAI Salado
San Javier,Desarrollo integral Salado
San Javier,Gimnasio El Salado
San Javier,Iglesia San José P1
San Javier,Iglesia San José P2
San Javier,Cancha Fuente Clara
El Poblado,Plazoleta Y Parque Cultural Del Mamm
El Poblado,Plazoleta Estación Metro Poblado (exterior)
El Poblado,Parque El Poblado
El Poblado,Mascerca Poblado
El Poblado,Parque Lleras
El Poblado,Plazoleta Estación Metro Industriales (exterior)
El Poblado,Estación Metro Poblado
El Poblado,Canal Parque Telemedellín
El Poblado,Parque Lineal Ciudad Del Río
El Poblado,Ruta De La Memoria – Parque Memorial De Inflexion
El Poblado,Estación Metro Aguacatala – MTR Estación Aguacatala
El Poblado,Parque La Presidenta
El Poblado,Cancha Polideportiva divina eucaristía
Guayabal,Parque de Cristo Rey
Guayabal,Aeroparque Juan Pablo Segundo
Guayabal,Unidad Deportiva María Luisa
Guayabal,Coliseo Carlos Mauro Hoyos
Guayabal,Terminal del Sur
Guayabal,Plazoleta Estación Metroplus Industriales (exterior)
Guayabal,Mascerca Guayabal
Guayabal,Centro de Salud Guayabal
Guayabal,Unidad Deportiva Campo Amor
Guayabal,Estación Metroplus Industriales L1 (interior plataforma abordaje)
Guayabal,Plaza Gardel – Aeropuerto Olaya Herrera
Guayabal,Placa PoliDeportiva Trinidad
Guayabal,Parque Manzanares
Guayabal,Parque De Ruedas 4 Sur
Guayabal,Parque San Pablo
Guayabal,Cancha Trinidad
