comuna,barrio,sede
10,La Candelaria,Plaza Botero (Museo de Antioquia)
10,La Candelaria,Parque de la Vida (Centro)
10,La Candelaria,Inspección 10B
10,La Candelaria,Por mis derechos – Por una Vida Más Digna (Oficina La Candelaria)
10,La Candelaria,Estación Tranvía San Antonio – Plazoleta de Abordaje (exterior)
10,La Candelaria,Estación Metro Parque Berrío
10,La Candelaria,Estación Tranvía Pabellón del Agua EPM (exterior)
10,La Candelaria,Estación Hospital Metroplús (interior)
10,La Candelaria,Plaza Mayor – Plazoleta Interamericana
10,La Candelaria,Registraduría (Torres de Bomboná)
10,La Candelaria,La Playa (Teatro Pablo Tobón)
10,La Candelaria,Perpetuo Socorro
10,La Candelaria,Parque Obrero
10,La Candelaria,Estación Metro San Antonio 1 – MTR (interior plataforma abordaje linea A)
10,La Candelaria,Estación Metro San Antonio 2 – MTR (interior plataforma abordaje linea B)
10,La Candelaria,Estación Metro Parque Berrio – MTR (interior acceso torniquete Norte)
10,La Candelaria,Centro Comercial Medellín
10,La Candelaria,Pasaje Carabobo (Frente Iglesia Veracruz)
10,La Candelaria,Plazoleta Iglesia San José
10,La Candelaria,Centro Comercial Bazar San Antonio
10,La Candelaria,Parques del Río 1B Sur
10,La Candelaria,Parques del Río 1B Norte
10,La Candelaria,Pasaje La Bastilla x Av La Playa
10,La Candelaria,Parque República
11,Laureles Estadio,Coliseo de Voleibol Yesid Santos Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Coliseo de Combate Guillermo Gaviria Correa Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Coliseo de Gimnasia Jorge Hugo Giraldo Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Coliseo Iván de Bedout Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Complejo Acuático Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Pista de Atletismo Alfonso Galvis Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Plazoleta de Banderas Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Diamante de Béisbol Luis Alberto Villegas Unid. Deportiva Atanasio Girardot
11,Laureles Estadio,Centro de Servicios El Estadio
11,Laureles Estadio,Centro de Integración Comuna 11 (Casa Betancur)
11,Laureles Estadio,Mall Laureles
11,Laureles Estadio,Parque Amisura
11,Laureles Estadio,Parque Cancha Grande San Joaquín
11,Laureles Estadio,Parque 4 Vientos (Los Colores)
11,Laureles Estadio,Parque El Emperador
11,Laureles Estadio,Parque El Triángulo (Conquistadores)
11,Laureles Estadio,Parque La Castellana
11,Laureles Estadio,Parque La Matea
11,Laureles Estadio,Parque Lourdes
11,Laureles Estadio,Parque Pinocho
11,Laureles Estadio,Parque Plan Parcial Invatex
11,Laureles Estadio,Parque Unicentro
11,Laureles Estadio,Plazuela Carlos E. Restrepo
11,Laureles Estadio,Primer Parque de Laureles
11,Laureles Estadio,Parque Suramericana Alta
11,Laureles Estadio,Plazoleta Estación Metro Suramericana (exterior)
11,Laureles Estadio,Plazoleta Estación Metro Estadio (exterior)
11,Laureles Estadio,Ampliación Estación Estadio Plazoleta (exterior)
11,Laureles Estadio,Parques del Río
12,La América,Casa de la Cultura Los Alcázares
12,La América,Mascerca La Floresta
12,La América,Parque del Ajedrez
12,La América,Unidad Deportiva Barrio Cristóbal
12,La América,Zona Verde Recreacional La Arboleda
12,La América,Parque Principal La Floresta
12,La América,CAV La América
12,La América,Centro de Salud Santa Rosa de Lima
12,La América,Aula Ambiental Plaza La América
12,La América,Placa PoliDeportiva La Cristóbal
12,La América,Parque Campo Alegre (La Jota)
12,La América,Parque Los Tanques
12,La América,Estación Metro Santa Lucía (exterior)
12,La América,Parque El Manicomio
12,La América,Parque Infantil Colinas de Calasanz
12,La América,Unidad Deportiva La Floresta
12,La América,Cancha sintética Santa Lucia
13,San Javier,CAV Belencito
13,San Javier,Unidad Deportiva Antonio Nariño
13,San Javier,Casa de Justicia 20 de Julio
13,San Javier,UPSS San Javier
13,San Javier,Centro de Salud La Esperanza
13,San Javier,Centro de Salud Manantial de Vida
13,San Javier,Centro de Salud La Quiebra
13,San Javier,Centro de Salud Villa Laura
13,San Javier,Placa Polideportiva La Loma
13,San Javier,Plazoleta Estación Metro San Javier B (exterior)
13,San Javier,Estacion San Javier (Metrocable J) (interior)
13,San Javier,Escaleras Eléctricas (Viaducto)
13,San Javier,Escaleras Eléctricas (Tramos 4 5 Y 6)
13,San Javier,Centralidad El Pesebre
13,San Javier,CVS San Javier
13,San Javier,Placa PoliDeportiva Blanquizal
13,San Javier,Desarrollo Integral el Socorro
13,San Javier,Placa PoliDeportiva Metropolitano
13,San Javier,Viaducto Tramo Dos
13,San Javier,Cancha La Campiña Pradera Baja
13,San Javier,Viaducto tramo 2 parte alta
13,San Javier,Cancha Belencito Betania
13,San Javier,Iglesia Madre Redentor
13,San Javier,Parque La paz
13,San Javier,Parque Villa del Socorro
13,San Javier,CAI Salado
13,San Javier,Desarrollo integral Salado
13,San Javier,Gimnasio El Salado
13,San Javier,Iglesia San José P1
13,San Javier,Iglesia San José P2
13,San Javier,Cancha Fuente Clara
14,El Poblado,Plazoleta Y Parque Cultural Del Mamm
14,El Poblado,Plazoleta Estación Metro Poblado (exterior)
14,El Poblado,Parque El Poblado
14,El Poblado,Mascerca Poblado
14,El Poblado,Parque Lleras
14,El Poblado,Plazoleta Estación Metro Industriales (exterior)
14,El Poblado,Estación Metro Poblado
14,El Poblado,Canal Parque Telemedellín
14,El Poblado,Parque Lineal Ciudad Del Río
14,El Poblado,Ruta De La Memoria – Parque Memorial De Inflexion
14,El Poblado,Estación Metro Aguacatala – MTR Estación Aguacatala
14,El Poblado,Parque La Presidenta
14,El Poblado,Cancha Polideportiva divina eucaristía
15,Guayabal,Parque de Cristo Rey
15,Guayabal,Aeroparque Juan Pablo Segundo
15,Guayabal,Unidad Deportiva María Luisa
15,Guayabal,Coliseo Carlos Mauro Hoyos
15,Guayabal,Terminal del Sur
15,Guayabal,Plazoleta Estación Metroplus Industriales (exterior)
15,Guayabal,Mascerca Guayabal
15,Guayabal,Centro de Salud Guayabal
15,Guayabal,Unidad Deportiva Campo Amor
15,Guayabal,Estación Metroplus Industriales L1 (interior plataforma abordaje)
15,Guayabal,Plaza Gardel – Aeropuerto Olaya Herrera
15,Guayabal,Placa PoliDeportiva Trinidad
15,Guayabal,Parque Manzanares
15,Guayabal,Parque De Ruedas 4 Sur
15,Guayabal,Parque San Pablo
15,Guayabal,Cancha Trinidad
15,Guayabal,Biblioteca Manuel Mejia Vallejo
16,Belén,Cerro Nutibara (Terraza pueblito paisa) Reubicado
16,Belén,Pista de Bicicross Antonio Roldán Betancur
16,Belén,Tiro Con Arco Unidad Deportiva Andrés Escobar
16,Belén,Bolera Unidad Deportiva Andrés Escobar
16,Belén,Desarrollo Integral Belén Zafra
16,Belén,UPSS Belén
16,Belén,CVS Belen (CEDEZO Belén)
16,Belén,Parque Biblioteca de Belén / Centro de Salud Belén Rincón
16,Belén,Parque Belén
16,Belén,Mascerca Belén
16,Belén,Desarrollo Integral Belén Rincón
16,Belén,Parque Principal Belén Los Alpes
16,Belén,Cancha de Fútbol Arenilla Buena Vista
16,Belén,Parque Quimbaya
16,Belén,Cancha Las Violetas
16,Belén,Cancha polideportiva Belén las playas
16,Belén,Cancha Polideportiva Belen Los Alpes
16,Belén,Parque Infantil Al Frente Entrada 4 Udem
16,Belén,Parque La Mota
16,Belén,Parque De Belen La Nubia
16,Belén,Cancha arenilla Altavista
16,Belén,Pueblito Paisa
16,Belén,Parque Malibu
16,Belén,Parque la Chinca – San Carlos
16,Belén,Parque San José de la Montaña
50,San Sebastián de Palmitas,Casa de Gobierno San Sebastián de Palmitas
50,San Sebastián de Palmitas,Centralidad Vereda La Suiza
50,San Sebastián de Palmitas,Parque San Sebastián de Palmitas
50,San Sebastián de Palmitas,Placa Polideportiva Vereda La Aldea
60,San Cristóbal,Casa de Gobierno San Cristóbal
60,San Cristóbal,Exteriores Ludoteca Casa San Martín
60,San Cristóbal,UPSS Nuevo Occidente
60,San Cristóbal,CVS San Cristóbal
60,San Cristóbal,UPSS San Cristóbal
60,San Cristóbal,Centro de Servicios Nuevo Occidente (Casa Lusitania)
60,San Cristóbal,Centro de Salud La Loma
60,San Cristóbal,Cancha Jose Betancur
60,San Cristóbal,Plazoleta Estación Metrocable La Aurora (exterior)
60,San Cristóbal,Unidad Deportiva San Cristóbal
60,San Cristóbal,Ruta De La Memoria – Plazoleta Villa Suramericana (Frente La Aurora)
60,San Cristóbal,Parque Principal San Cristóbal
60,San Cristóbal,Placa la Ilusión
70,Altavista,Casa de Gobierno Altavista
70,Altavista,Parque Principal de Altavista
70,Altavista,Cancha de Arena El Manzanillo
70,Altavista,La Esperanza
70,Altavista,Placa PoliDeportiva Los Tanques
70,Altavista,Placa de Arenilla Aguas Frías
70,Altavista,Cancha Aguas Frías Parte Alta
80,San Antonio de Prado,Casa de Gobierno San Antonio de Prado
80,San Antonio de Prado,CVS San Antonio de Prado (cedezo San Antonio de Prado)
80,San Antonio de Prado,Biblioteca José Horacio Betancur Parque principal San Antonio de Prado
80,San Antonio de Prado,Corregiduría El Limonar
80,San Antonio de Prado,Cancha Sintética Horizontes
80,San Antonio de Prado,Zona Verde El Limonar No. 2
80,San Antonio de Prado,Placa Polideportiva Montañita
80,San Antonio de Prado,Placa polideportiva potrerito
90,Santa Elena,Casa de Gobierno Santa Elena
90,Santa Elena,Parque Santa Elena
90,Santa Elena,Plazoleta Estación Metrocable Parque Arví (exterior)
90,Santa Elena,Piedras Blancas
90,Santa Elena,Parque Arví – Centro Ambiental y Cultural Parque Arví
90,Santa Elena,@Medellín – Sapiencia Centralidad Mazo
90,Santa Elena,Bello Oriente (Sector Palomar)
90,Santa Elena,El Tambo
90,Santa Elena,Fuerte de Carabineros
