Sedes,Autenticación_Correo,Autenticación_Facebook,Autenticación_Googleplus,Autenticación_Linkedin,Autenticación_Twitter,Rango_edad_desconocido,Rango_edad_De_14_a_17_Años,Rango_edad_De_18_a_28_Años,Rango_edad_De_29_a_50_Años,Rango_edad_Mayor_de_50_Años,Rango_edad_Menor_de_13_Años,Dispositivo_conexión_Computadora_personal,Dispositivo_conexión_Smartphone,Dispositivo_conexión_Tablet,Género_desconocido,Sexo_Femenino,Sexo_Masculino,Género_Otro,Mes,Año
Parque Belén,8727,589,18,0,6,6040,144,1448,1285,393,30,9,9234,97,5892,973,2436,39,Marzo,2019.0
Parque Berrío,4542,333,1,0,1,3246,77,901,559,86,8,95,4770,12,3071,619,1171,16,Marzo,2019.0
Parque Bicentenario,4689,1035,4,0,1,3885,97,1265,445,8,29,6,5709,14,3276,446,1989,18,Marzo,2019.0
Parque Bolívar,8061,638,0,0,1,5064,122,1913,1365,225,11,12,8596,92,4859,1072,2759,10,Marzo,2019.0
Parque Campo Alegre (La Jota),2092,141,4,0,7,1210,82,493,363,89,7,23,2212,9,1216,324,676,28,Marzo,2019.0
Parque Cancha Grande San Joaquín,2205,247,0,2,58,1598,79,400,335,89,11,62,2431,19,1536,302,630,44,Marzo,2019.0
Parque Cerro El Cristo Salvador,3443,398,0,0,0,2182,111,1081,407,43,17,7,3808,26,2019,343,1376,103,Marzo,2019.0
Parque De Boston,6432,534,13,0,9,4380,157,1276,939,209,27,30,6818,140,4292,828,1856,12,Marzo,2019.0
Parque De Cristo Rey,6518,980,3,0,1,5027,188,1109,943,211,24,64,7414,24,4436,888,2151,27,Marzo,2019.0
Parque De Guadalupe,7658,1488,5,1,2,6208,619,1678,602,21,26,12,9081,61,5772,1037,2331,14,Marzo,2019.0
Parque De La Pilarica,589,75,1,0,3,422,11,110,109,12,4,5,663,0,369,57,239,3,Marzo,2019.0
Parque De La Vida - Los Colores,701,182,0,0,0,579,39,176,66,22,1,47,835,1,446,186,249,2,Marzo,2019.0
Parque De Los Deseos,10533,492,13,0,11,7129,338,2494,1001,47,40,100,10899,50,7163,1718,2130,38,Marzo,2019.0
Parque De Los Pies Descalzos,1857,54,0,0,2,842,115,606,295,47,8,168,1742,3,932,406,561,14,Marzo,2019.0
Parque De Robledo,4190,277,3,0,5,3135,309,605,344,64,18,10,4438,27,3296,473,703,3,Marzo,2019.0
Parque Del Ajedrez,803,111,4,0,1,571,11,199,126,12,0,66,848,5,508,128,241,42,Marzo,2019.0
Parque Del Periodista,5348,659,6,0,6,4064,65,1202,647,39,2,8,6000,11,3609,574,1803,33,Marzo,2019.0
Parque Deportivo Y Recreativo La Tinajita,5044,843,6,0,0,3696,241,1104,808,28,16,29,5829,35,3491,914,1478,10,Marzo,2019.0
Parque El Emperador,1682,252,0,0,13,1093,65,361,377,48,3,41,1896,10,936,434,577,0,Marzo,2019.0
Parque El Triángulo,1526,318,0,0,15,1059,18,522,246,11,3,3,1828,28,897,117,827,18,Marzo,2019.0
Parque Explora,10358,1238,2,1,66,7679,356,2404,1089,93,44,87,11539,39,7198,1674,2758,35,Marzo,2019.0
Parque Florencia,3085,531,46,0,2,2573,260,494,289,28,20,10,3630,24,2454,318,874,18,Marzo,2019.0
Parque Gaitán,6920,628,20,0,0,4553,522,1452,898,69,74,86,7426,56,4730,980,1827,31,Marzo,2019.0
Parque Juanes De La Paz,4262,1041,4,0,18,3340,307,1098,481,76,23,159,5153,13,2874,625,1796,30,Marzo,2019.0
Parque Kennedy,3585,673,5,0,37,2911,239,923,195,8,24,1,4217,82,2662,407,1222,9,Marzo,2019.0
Parque la Batea del barrio Villatina,1716,324,0,0,0,1144,119,555,144,63,15,11,1953,76,1086,370,583,1,Marzo,2019.0
Parque la Candelaria,4787,887,7,0,1,3722,216,1257,407,29,51,99,5512,71,3385,755,1527,15,Marzo,2019.0
Parque La Castellana,1500,163,2,0,0,833,55,349,359,57,12,96,1553,16,784,325,475,81,Marzo,2019.0
Parque La Matea,1862,193,1,0,1,1411,26,341,248,30,1,2,2053,2,1325,154,571,7,Marzo,2019.0
Parque La Milagrosa,5556,762,0,0,4,4163,564,943,502,121,29,11,6263,48,4221,618,1460,23,Marzo,2019.0
Parque Lineal La Herrera Santo Domingo,2232,595,0,0,1,1511,273,801,187,34,22,112,2702,14,1495,561,745,27,Marzo,2019.0
Parque Lleras,6457,317,4,0,5,4229,36,1641,815,59,3,12,6748,23,4064,912,1772,35,Marzo,2019.0
Parque Los Mangos,694,59,2,0,0,567,13,100,68,6,1,0,755,0,539,50,163,3,Marzo,2019.0
Parque los Tanques,540,58,3,0,0,403,14,116,57,8,3,0,600,1,396,49,155,1,Marzo,2019.0
Parque Lourdes,1414,172,0,0,0,758,16,568,163,75,6,29,1557,0,656,533,390,7,Marzo,2019.0
Parque Manzanares,1448,77,0,0,0,843,114,343,176,32,17,40,1479,6,930,239,351,5,Marzo,2019.0
Parque Norte,2701,118,8,0,2,1530,89,766,415,8,21,40,2781,8,1548,669,603,9,Marzo,2019.0
Parque Pablo VI,2422,458,3,0,0,1573,121,846,309,5,29,18,2825,40,1368,400,1114,1,Marzo,2019.0
Parque Pinocho,1568,497,0,0,34,1457,33,333,224,30,22,34,2060,5,1125,142,821,11,Marzo,2019.0
Parque Plan Parcial Invatex,1982,76,2,0,3,1287,76,440,240,14,6,17,2034,12,1336,243,476,8,Marzo,2019.0
Parque Principal Belén los Alpes,5155,486,3,0,1,3629,183,1189,577,51,16,10,5614,21,3472,643,1514,16,Marzo,2019.0
Parque Principal Campo Valdés,10032,1703,20,1,67,7964,611,2289,842,70,47,37,11740,46,7278,1218,3271,56,Marzo,2019.0
Parque Principal San Antonio de Prado,4087,149,14,0,6,2797,164,688,552,46,9,8,4195,53,2844,479,928,5,Marzo,2019.0
Parque Principal Villa Hermosa,8188,618,12,0,13,5585,444,1721,952,80,49,16,8738,77,5671,1195,1932,33,Marzo,2019.0
Parque Recreativo Barrio Jesús,2933,368,23,0,0,2003,169,793,320,26,13,100,3189,35,1901,458,960,5,Marzo,2019.0
Parque San Antonio,14462,940,3,1,2,10654,298,2516,1710,217,13,84,15283,41,10278,1968,3134,28,Marzo,2019.0
Parque Suramericana Alta,2300,94,1,0,4,1679,39,294,352,35,0,19,2375,5,1679,303,412,5,Marzo,2019.0
Parque Unicentro,1114,127,5,0,12,939,11,125,151,32,0,5,1246,7,891,121,245,1,Marzo,2019.0
Perpetuo Socorro,880,69,0,0,3,537,39,139,211,26,0,9,942,1,551,85,313,3,Marzo,2019.0
Pista De Atletismo Alfonso Galvis,2353,125,1,0,5,1442,128,587,280,36,11,6,2464,14,1487,356,638,3,Marzo,2019.0
Pista De Bicicrós Antonio Roldán Betancur,1459,87,0,0,0,693,138,274,409,16,16,19,1520,7,762,378,402,4,Marzo,2019.0
Pista de BMX Mariana Pajón,335,117,0,0,0,253,26,101,70,2,0,20,432,0,176,69,206,1,Marzo,2019.0
Pista De Patinaje Francisco Antonio Zea,4493,527,11,0,0,2994,255,970,738,42,32,13,4968,50,2880,938,1205,8,Marzo,2019.0
Placa Cubierta La Sierra,1729,350,6,0,0,1087,118,568,283,8,21,5,2079,1,1097,416,566,6,Marzo,2019.0
Placa De Arenilla Aguas Frías,1941,345,0,0,0,1159,234,560,262,50,21,31,2232,23,1183,407,692,4,Marzo,2019.0
Placa Polideportiva Blanquizal,3260,333,0,0,8,2037,369,835,288,18,54,26,3562,13,2268,647,686,0,Marzo,2019.0
Placa Polideportiva La Cristóbal,2076,215,3,0,2,1148,153,400,524,21,50,42,2246,8,1169,479,631,17,Marzo,2019.0
Placa Polideportiva Los Tanques,1364,653,77,0,0,1229,232,448,90,5,90,55,2003,36,950,193,944,7,Marzo,2019.0
Placa Polideportiva Metropolitano,1407,145,15,0,0,528,215,441,156,176,51,11,1554,2,676,291,598,2,Marzo,2019.0
Placa Polideportiva Trinidad,3032,242,1,0,1,1660,158,1147,280,23,8,31,3202,43,1753,323,1193,7,Marzo,2019.0
Plaza Botero,5181,325,1,0,0,3624,58,1050,696,69,10,13,5487,7,3550,633,1314,10,Marzo,2019.0
Plaza Gardel - Aeropuerto Olaya Herrera,528,44,0,0,1,380,17,139,36,1,0,11,561,1,365,63,143,2,Marzo,2019.0
Plaza Mayor - Plazoleta Interamericana,2239,94,5,0,2,1346,28,628,319,19,0,48,2289,3,1316,350,670,4,Marzo,2019.0
Plazoleta De Banderas,7015,894,61,0,13,4630,312,1883,1010,110,38,70,7899,14,4241,1513,2144,85,Marzo,2019.0
Plazoleta De Cisneros,2711,169,0,0,0,2012,28,484,340,14,2,3,2869,8,1936,262,677,5,Marzo,2019.0
Plazoleta Del MAMM,1370,71,0,0,0,995,19,242,158,25,2,14,1421,6,972,173,288,8,Marzo,2019.0
Plazoleta Entre IE Antonio Derka y La IE Santo Domingo Savio,4089,474,6,0,0,3175,403,783,175,12,21,65,4476,28,3246,426,886,11,Marzo,2019.0
Plazoleta Estación Estadio (Metro),6873,355,8,0,2,5011,190,1323,652,43,19,6,7212,20,5000,796,1421,21,Marzo,2019.0
Plazoleta Estación Industriales (Metro),6723,304,4,1,0,4690,57,1347,857,78,3,53,6966,13,4541,842,1628,21,Marzo,2019.0
Plazoleta Estación Industriales (Metroplús),7380,511,4,0,12,6280,32,905,655,30,5,71,7820,16,6031,607,1260,9,Marzo,2019.0
Plazoleta Estación La Aurora (Metrocable),4346,541,46,0,2,2852,364,1174,478,46,21,19,4844,72,2797,678,1431,29,Marzo,2019.0
Plazoleta Estación Poblado (Metro),6367,628,5,1,3,5396,89,960,482,70,7,27,6940,37,5005,845,1145,9,Marzo,2019.0
Plazoleta Estación Popular 1 (Metrocable),5730,1164,4,0,25,4610,334,1476,460,29,14,145,6711,67,4061,1076,1776,10,Marzo,2019.0
Plazoleta Estación Santo Domingo (Metrocable),5172,529,4,0,0,3885,293,1056,413,39,19,63,5597,45,3906,592,1195,12,Marzo,2019.0
Plazoleta La Alpujarra,2690,191,3,0,0,1970,17,432,409,40,16,11,2869,4,1893,307,682,2,Marzo,2019.0
"Plazoleta, Institución Universitaria Pascual Bravo",3414,217,9,0,3,2254,241,1000,105,37,6,137,3490,16,2347,260,1033,3,Marzo,2019.0
Plazuela Carlos E. Restrepo,4131,607,2,0,17,3095,73,1111,437,31,10,43,4684,30,2699,491,1511,56,Marzo,2019.0
Plazuela San Ignacio,8234,544,16,12,13,5581,100,1468,1477,169,24,16,8755,48,5306,1206,2295,12,Marzo,2019.0
Por Mis Derechos - Por Una Vida Más Digna (Oficina La Candelaria),806,311,0,0,0,755,32,199,126,3,2,149,965,3,518,298,300,1,Marzo,2019.0
Primer Parque De Laureles,4071,367,16,0,8,2677,80,1201,464,36,4,13,4415,34,2490,443,1512,17,Marzo,2019.0
Registraduría (Torres De Bomboná),3003,110,3,0,1,1509,151,630,634,192,1,12,3101,4,1606,813,686,12,Marzo,2019.0
Secretaría De Movilidad (Oficina Castilla),8857,553,45,1,4,5031,112,2242,1802,271,2,150,9300,10,4839,1981,2614,26,Marzo,2019.0
Teatro Al Aire Libre Y Parque El Pedregal,4147,697,0,0,0,2605,540,1022,446,182,49,124,4705,15,2771,509,1519,45,Marzo,2019.0
Telecentro San Joaquín,392,34,0,0,0,187,38,62,125,3,11,11,390,25,204,159,59,4,Marzo,2019.0
Terminal Del Norte,28541,1141,7,0,12,18667,675,6445,3336,494,84,227,29326,148,18920,4499,6207,75,Marzo,2019.0
Terminal Del Sur,15151,393,21,0,125,9711,264,3182,2121,351,61,223,15403,64,9851,2444,3366,29,Marzo,2019.0
Tesorería Municipal (Oficina CAM),2376,289,14,1,0,1452,55,460,566,146,1,20,2657,3,1331,757,583,9,Marzo,2019.0
Tiro Con Arco Unidad Deportiva Andrés Escobar,4800,366,16,0,4,2966,356,1161,598,90,15,14,5155,17,3091,558,1523,14,Marzo,2019.0
Unidad Deportiva Alejandro Echavarría,5067,629,1,0,0,2990,586,1468,561,26,66,31,5650,16,3199,685,1760,53,Marzo,2019.0
Unidad Deportiva Antonio Nariño,5746,361,0,0,0,3623,415,1313,609,115,32,27,6033,47,3833,933,1320,21,Marzo,2019.0
Unidad Deportiva Barrio Cristóbal,1795,219,4,0,0,1011,116,500,365,19,7,26,1980,12,974,414,617,13,Marzo,2019.0
Unidad Deportiva Campo Amor,5256,520,18,0,1,3332,540,1013,804,59,47,32,5728,35,3614,672,1499,10,Marzo,2019.0
Unidad Deportiva Doce De Octubre,4720,641,19,0,7,3486,320,1174,362,20,25,13,5352,22,3414,518,1433,22,Marzo,2019.0
Unidad Deportiva El Raizal,6259,709,6,0,0,4309,421,1606,518,53,67,59,6852,63,4305,716,1945,8,Marzo,2019.0
Unidad Deportiva Granizal,4437,1208,1,0,0,3558,609,1076,311,26,66,352,5212,82,3360,990,1277,19,Marzo,2019.0
Unidad Deportiva José René Higuita,7131,548,3,4,0,4122,650,1950,757,151,56,51,7616,19,4410,1080,2108,87,Marzo,2019.0
Unidad Deportiva María Luisa Calle,1750,152,24,0,0,1099,107,379,322,11,8,15,1904,7,1102,328,485,11,Marzo,2019.0
Unidad Deportiva Miraflores,5718,832,13,0,5,3809,432,1528,641,118,40,102,6453,13,3704,631,2184,49,Marzo,2019.0
Unidad Deportiva San Blas,4945,730,1,0,0,3367,351,1125,767,28,38,15,5629,32,3283,603,1775,15,Marzo,2019.0
Unidad Deportiva Tricentenario,3457,737,0,0,6,2153,214,1050,660,115,8,8,4166,26,1887,779,1500,34,Marzo,2019.0
Unidad Integral N°6,915,150,34,0,0,547,19,211,270,26,26,3,1057,39,570,295,234,0,Marzo,2019.0
Unidad Permanente de Justicia (UPJ),4641,322,2,0,2,2268,154,1207,1119,207,12,187,4771,9,2215,1402,1304,46,Marzo,2019.0
Upss Belén,5015,413,0,0,0,2607,146,1433,1014,211,17,12,5397,19,2496,1887,1023,22,Marzo,2019.0
Upss Castilla,6006,1182,18,0,1,3667,197,1499,1558,269,17,100,7094,13,3016,3012,1167,12,Marzo,2019.0
Upss Doce De Octubre,3876,229,0,0,0,1822,158,1031,915,168,11,5,4094,6,1908,1627,565,5,Marzo,2019.0
Upss Manrique,7428,742,2,0,1,3672,348,2531,1421,178,23,45,8077,51,3497,3104,1565,7,Marzo,2019.0
Upss Nuevo Occidente,4759,601,4,0,105,2592,188,1444,1090,128,27,177,5219,73,2473,1845,1130,21,Marzo,2019.0
Upss San Cristóbal,5082,550,98,0,0,2709,205,1742,898,112,64,50,5654,26,2425,2130,1166,9,Marzo,2019.0
Upss San Javier,4901,321,0,0,0,2662,237,1290,922,100,11,21,5184,17,2681,1897,636,8,Marzo,2019.0
Upss Santa Cruz,5014,823,5,1,2,3058,362,1338,950,125,12,11,5801,33,2917,2013,905,10,Marzo,2019.0
"\Velódromo Martín Emilio \""\""Cochise\""\"" Rodríguez\""""",783,60,0,0,0,464,47,168,156,7,1,21,822,0,471,139,226,7,Marzo,2019.0
Viaducto Tramo Dos,970,183,0,0,0,656,97,231,139,23,7,4,1141,8,621,262,247,23,Marzo,2019.0
Aeroparque Juan Pablo Segundo,1740,653,8,0,0,1377,163,426,340,72,23,10,2386,5,1065,585,725,26,Abril,2019.0
Ampliación La Honda,2735,327,0,0,0,1476,273,965,294,14,40,49,2975,38,1615,660,773,14,Abril,2019.0
Ampliación Museo Cementerio San Pedro,784,31,0,0,0,465,15,236,91,2,6,2,812,1,460,143,210,2,Abril,2019.0
Ampliación Parque De La Pilarica,798,32,0,0,0,449,9,189,171,11,1,43,785,2,430,69,326,5,Abril,2019.0
Ampliación Plazoleta Estación Estadio,14517,813,34,2,8,11531,285,2382,1089,67,20,37,15302,35,11404,1537,2405,28,Abril,2019.0
Arroba Medellín-Sapiencia,984,12,0,0,0,559,56,144,227,7,3,26,968,2,616,264,115,1,Abril,2019.0
Aula Ambiental Paseo del Río,624,192,0,0,0,392,2,126,296,0,0,2,814,0,381,258,177,0,Abril,2019.0
Aula Ambiental Plaza La América,2538,201,0,6,10,1495,57,451,635,114,3,45,2699,11,1395,716,638,6,Abril,2019.0
Banco De Los Pobres,1412,54,0,6,0,507,12,473,468,11,1,75,1394,3,494,503,470,5,Abril,2019.0
Bello Oriente (Sector Palomar),5305,994,1,0,0,3461,809,1212,558,71,189,88,6104,108,3846,1134,1310,10,Abril,2019.0
Bolera Unidad Deportiva Andrés Escobar,1125,81,1,0,3,695,65,261,155,26,8,24,1184,2,704,167,339,0,Abril,2019.0
Canal Parque Telemedellín,782,28,45,0,4,477,24,169,170,14,5,17,836,6,448,178,229,4,Abril,2019.0
Cancha Aguas Frías Parte Alta,3053,339,0,0,0,1403,411,1022,449,32,75,195,3175,22,1765,741,881,5,Abril,2019.0
Cancha De Arena El Manzanillo,2673,544,0,0,0,1827,268,671,397,45,9,37,3175,5,1949,456,810,2,Abril,2019.0
Cancha de Futbol Arenilla Buena Vista,2591,306,0,0,7,1746,176,711,231,23,17,52,2835,17,1874,469,557,4,Abril,2019.0
Cancha de Futbol el Rompoy Popular N1,5652,764,0,0,22,3204,872,1829,407,38,88,86,6325,27,3955,1157,1324,2,Abril,2019.0
Cancha de Futbol en Grama Sintética San Nicolas,2557,350,1,0,2,1580,145,713,461,4,7,28,2877,5,1636,559,713,2,Abril,2019.0
Cancha Sintética Horizontes,3160,282,0,0,1,1798,315,803,454,30,43,7,3428,8,2085,528,824,6,Abril,2019.0
Cancha Sintética la Maracaná,4934,426,1,0,2,2831,438,1377,645,33,39,2,5346,15,3137,799,1413,14,Abril,2019.0
Cancha Sintética las Esmeraldas,4477,974,6,0,15,3464,231,1205,518,32,22,5,5438,29,3216,576,1674,6,Abril,2019.0
Cancha Sintética Villa del Socorro,2894,268,8,0,1,1535,206,763,628,16,23,79,3077,15,1620,466,1063,22,Abril,2019.0
Casa De Gobierno Altavista,656,12,0,1,0,327,26,154,159,2,1,70,598,1,351,189,128,1,Abril,2019.0
Casa De Gobierno San Antonio De Prado,1265,55,1,0,0,672,31,213,342,58,5,43,1274,4,688,421,207,5,Abril,2019.0
Casa De Gobierno San Cristóbal,1290,70,0,0,0,693,41,215,372,38,1,27,1331,2,702,420,237,1,Abril,2019.0
Casa De Gobierno San Sebastián De Palmitas,607,16,0,0,0,166,34,54,367,2,0,69,552,2,187,133,302,1,Abril,2019.0
Casa De Gobierno Santa Elena,1392,149,0,0,0,975,122,233,167,37,7,80,1456,5,982,281,273,5,Abril,2019.0
Casa De Justicia 20 De Julio,5848,594,1,0,1,3567,523,1605,649,77,23,150,6257,37,3731,1368,1331,14,Abril,2019.0
Casa De Justicia De Robledo,1348,44,0,0,1,704,54,262,327,33,13,36,1357,0,735,189,468,1,Abril,2019.0
Casa De Justicia Villa Del Socorro,2016,290,4,0,0,1254,147,476,369,32,32,125,2184,1,1230,636,440,4,Abril,2019.0
Casa De La Cultura Ávila,813,42,5,0,1,433,58,202,144,12,12,6,851,4,473,235,146,7,Abril,2019.0
Casa De La Cultura El Poblado,1081,82,0,0,0,485,3,267,401,6,1,79,1083,1,429,216,518,0,Abril,2019.0
Casa De La Cultura Los Alcázares,1276,170,0,0,0,780,105,266,259,27,9,10,1435,1,863,364,210,9,Abril,2019.0
Casa De La Cultura Manrique,2592,305,139,0,0,2053,158,472,223,108,22,55,2953,28,1902,575,460,99,Abril,2019.0
Casa De La Cultura Pedregal,1622,167,1,0,0,947,215,295,304,9,20,29,1749,12,1094,306,385,5,Abril,2019.0
Cav Belencito,2849,258,2,0,0,1533,62,708,747,57,2,24,3082,3,1514,917,673,5,Abril,2019.0
Cav Caunces,804,73,4,0,0,451,13,194,221,2,0,14,865,2,438,270,173,0,Abril,2019.0
CAV La América,1142,99,0,0,0,373,19,320,511,17,1,394,845,2,329,402,492,18,Abril,2019.0
Cav Palermo,427,26,19,0,0,209,5,129,126,3,0,2,470,0,203,174,95,0,Abril,2019.0
CEDEZO Belén,1103,108,0,0,9,799,31,229,138,21,2,46,1171,3,749,193,275,3,Abril,2019.0
CEDEZO La Ladera,1355,282,9,0,0,1017,21,352,241,12,3,17,1627,2,826,183,633,4,Abril,2019.0
Cedezo La Quintana,1449,175,2,0,0,1045,78,351,115,4,33,36,1588,2,1017,152,442,15,Abril,2019.0
CEDEZO Manrique,1206,204,0,0,0,776,43,366,210,11,4,9,1394,7,684,375,350,1,Abril,2019.0
Cedezo San Antonio De Prado,375,80,0,0,0,319,26,71,33,0,6,4,450,1,273,153,28,1,Abril,2019.0
CEDEZO San Cristóbal,1487,113,3,0,1,879,199,235,268,4,19,47,1551,6,1063,283,255,3,Abril,2019.0
CEDEZO San Javier,1942,376,1,0,2,1442,61,537,270,8,3,87,2219,15,1192,466,657,6,Abril,2019.0
CEDEZO Santa Cruz,3696,309,3,0,0,2328,259,951,389,49,32,74,3925,9,2513,612,877,6,Abril,2019.0
CEDEZO Santo Domingo,2256,844,4,0,0,1920,277,645,241,7,14,89,3003,12,1656,609,831,8,Abril,2019.0
Centralidad Deportiva El Progreso N°2,5821,650,0,0,1,3591,471,1416,796,154,44,101,6332,39,3761,947,1753,11,Abril,2019.0
Centralidad El Pesebre,2142,197,0,0,0,1252,200,682,183,12,10,20,2306,13,1338,390,605,6,Abril,2019.0
Centralidad Vereda La Suiza,1554,1825,21,0,0,2508,251,415,79,115,32,87,3295,18,1562,729,1098,11,Abril,2019.0
Centro Cultural De Moravia,6113,754,6,0,3,3762,650,1585,694,59,126,80,6651,145,4052,1286,1515,23,Abril,2019.0
Centro Cultural Los Colores,900,34,0,0,0,520,35,302,64,5,8,9,919,6,546,186,198,4,Abril,2019.0
Centro De Integración Afrocolombiano,2231,235,0,3,0,798,195,871,536,51,18,366,2095,8,821,838,793,17,Abril,2019.0
Centro de Integración Comuna 11 (Casa Betancur),314,8,0,0,0,213,9,37,42,21,0,28,292,2,215,39,65,3,Abril,2019.0
Centro De Salud Alfonso López,2161,128,0,0,0,1133,204,665,209,52,26,7,2253,29,1255,600,403,31,Abril,2019.0
Centro De Salud Belén Rincón,1150,141,0,0,0,822,55,158,207,41,8,5,1286,0,831,274,185,1,Abril,2019.0
Centro De Salud Carpinelo,1063,59,0,0,0,630,95,289,76,19,13,5,1111,6,694,266,162,0,Abril,2019.0
Centro De Salud El Raizal,1292,141,0,0,0,654,38,371,291,74,5,36,1395,2,591,569,271,2,Abril,2019.0
Centro De Salud Guayabal,1265,203,0,0,0,678,17,317,383,72,1,5,1460,3,530,438,493,7,Abril,2019.0
Centro De Salud La Cruz,314,40,0,0,0,237,17,70,28,1,1,4,350,0,221,93,40,0,Abril,2019.0
Centro De Salud La Esperanza,2501,481,1,0,0,1793,161,666,306,35,22,18,2945,20,1704,612,623,44,Abril,2019.0
Centro De Salud La Loma,510,68,0,0,0,350,15,84,120,2,7,1,577,0,326,172,79,1,Abril,2019.0
Centro De Salud La Quiebra,1653,333,0,0,3,1168,115,378,248,62,18,14,1967,8,1045,606,333,5,Abril,2019.0
Centro De Salud Llanaditas,1076,111,0,0,0,619,59,262,174,68,5,8,1170,9,617,369,198,3,Abril,2019.0
Centro De Salud Manantial De Vida,2779,607,0,0,0,2080,276,735,253,3,39,27,3289,70,2103,642,641,0,Abril,2019.0
Centro de Salud Pablo VI,1285,81,0,0,0,774,98,289,164,10,31,33,1328,5,859,343,156,8,Abril,2019.0
Centro De Salud Picachito,1862,859,0,0,1,1738,76,618,226,63,1,22,2695,5,1206,501,1007,8,Abril,2019.0
Centro De Salud Popular 1,20,1,0,0,0,16,1,1,1,0,2,1,20,0,19,2,0,0,Abril,2019.0
Centro De Salud San Blas,2000,60,1,1,0,1062,105,490,370,21,14,26,2016,20,1151,733,175,3,Abril,2019.0
Centro De Salud San Camilo,775,157,0,0,67,574,24,191,195,15,0,2,993,4,468,479,52,0,Abril,2019.0
Centro De Salud San Lorenzo,1715,391,0,0,1,1247,146,478,188,18,30,5,2077,25,1180,537,389,1,Abril,2019.0
Centro De Salud Santa Rosa De Lima,724,21,2,0,0,436,9,135,146,20,1,4,739,4,436,200,110,1,Abril,2019.0
Centro De Salud Santo Domingo Savio,3401,330,19,0,0,2031,128,977,526,73,15,12,3725,13,1982,979,781,8,Abril,2019.0
Centro De Salud Villa Laura,1115,265,0,0,0,820,50,246,211,51,2,4,1268,108,708,507,161,4,Abril,2019.0
Centro De Salud Villatina,1360,44,0,0,0,547,57,661,103,35,1,52,1351,1,590,265,548,1,Abril,2019.0
Centro de Servicio al Ciudadano (CAM),5287,228,1,0,2,2176,42,1579,1495,219,7,215,5295,8,2133,2120,1256,9,Abril,2019.0
Centro De Servicios El Estadio,1280,131,0,0,8,805,32,319,227,30,6,28,1389,2,769,293,355,2,Abril,2019.0
Centro De Servicios Robledo,390,104,0,0,0,224,36,164,65,5,0,0,493,1,185,184,124,1,Abril,2019.0
Cerro El Volador,1576,70,2,0,1,810,43,425,351,20,0,4,1642,3,798,190,654,7,Abril,2019.0
Cerro Nutibara (Pueblito Paisa),1087,27,0,0,0,616,38,231,184,43,2,2,1099,13,650,211,249,4,Abril,2019.0
Coliseo Andalucía,6935,666,14,0,4,4258,648,2023,576,38,76,94,7492,33,4773,972,1853,21,Abril,2019.0
Coliseo Carlos Mauro Hoyos,1946,219,0,0,1,954,178,608,375,42,9,29,2136,1,974,306,880,6,Abril,2019.0
Coliseo De Combate Guillermo Gaviria Correa,7688,1147,22,1,10,5285,502,2159,801,78,43,67,8742,59,5113,1321,2382,52,Abril,2019.0
Coliseo De Gimnasia Jorge Hugo Giraldo,3961,396,0,0,6,1872,342,919,1052,60,118,156,4181,26,2067,1253,990,53,Abril,2019.0
Coliseo De Voleibol Yesid Santos,3499,469,24,0,16,2087,406,1022,431,36,26,36,3957,15,2164,781,1049,14,Abril,2019.0
Coliseo Iván De Bedout,5043,439,3,0,22,3013,407,1244,739,68,36,32,5455,20,3174,1089,1215,29,Abril,2019.0
Complejo Acuático,7085,606,7,1,51,4293,415,1413,1438,158,33,132,7590,28,4332,1945,1434,39,Abril,2019.0
Concejo De Medellín (Recinto),1632,75,0,3,0,1002,39,329,305,32,3,41,1660,9,1002,352,350,6,Abril,2019.0
Corregiduría El Limonar,737,42,0,0,0,273,71,137,249,48,1,14,762,3,343,201,231,4,Abril,2019.0
Desarrollo Integral Belén Rincón,4272,288,3,0,0,2632,276,1021,590,21,23,23,4531,9,2789,599,1167,8,Abril,2019.0
Desarrollo Integral Belén Zafra,3179,565,3,0,0,1960,286,978,411,85,27,16,3670,61,1955,725,1004,63,Abril,2019.0
Desarrollo Integral el Socorro,3440,421,0,0,0,2287,139,865,535,16,19,34,3810,17,2296,726,832,7,Abril,2019.0
Desarrollo Integral Las Estancias,4483,590,11,0,1,2812,388,1355,460,46,24,31,5012,42,2871,773,1428,13,Abril,2019.0
Diamante De Béisbol Luis Alberto Villegas,1291,98,0,0,2,572,92,314,340,60,13,32,1353,6,621,190,561,19,Abril,2019.0
Ecoparque Campo Santo,2541,501,1,0,0,1948,213,635,205,30,12,5,3020,18,1811,377,843,12,Abril,2019.0
Ecoparque Esfuerzos De Paz - Las Tinajas,4443,1278,48,0,4,3442,551,1257,448,63,12,24,5726,23,3284,939,1521,29,Abril,2019.0
El Tambo,1480,341,0,0,2,1167,90,343,133,35,55,33,1725,65,1005,502,264,52,Abril,2019.0
"Escaleras Eléctricas (Tramos 1,2 Y 3)",1959,482,0,0,0,1216,257,690,175,12,91,51,2387,3,1387,652,396,6,Abril,2019.0
"Escaleras Eléctricas (Tramos 4, 5 Y 6)",2880,465,0,0,0,1662,200,1212,242,15,14,19,3308,18,1577,673,1083,12,Abril,2019.0
Escaleras Eléctricas (Viaducto),1690,524,1,0,0,1108,264,500,267,66,10,58,2134,23,1249,458,476,32,Abril,2019.0
